School_Rank,School_Name,City_State,lat,lon,School_Url,University_Rank,University_Name,ulat,ulon,University_Url
47,Mount Prospect Elementary School,"Basking Ridge, NJ",40.655281,-74.623575,http://mountprospect.bernardsboe.com/,54,University of Georgia,33.948005,-83.377322,http://www.uga.edu/
46,Success Academy Charter School-Cobble Hill,"Brooklyn, NY",40.685281,-73.993427,http://www.successacademies.org/schools/cobble-hill/,55,Florida State University,30.441878,-84.298489,https://www.fsu.edu/
45,Essex Fells Elementary School,"Essex Fells, NJ",40.830214,-74.281524,https://www.efsk-6.org/,56,Georgetown University,38.907609,-77.072258,https://www.georgetown.edu/
44,Princeton Charter School,"Princeton, NJ",40.369521,-74.657045,http://pcs.k12.nj.us/,57,Iowa State University of Science and Technology,42.026619,-93.646465,https://www.iastate.edu/
43,New Explorations Into Science Tech And Math High Sc,"New York, NY",40.719167,-73.979722,https://nestmk12.net/,58,University of Oregon,44.04483,-123.072606,https://uoregon.edu/
42,Madison Street Academy Of Visual And Performing Arts,"Ocala, FL",29.190769,-82.151428,https://www.marionschools.net/mse,59,Brown University,41.826772,-71.402548,https://www.brown.edu/
41,Washington Academy,"Rockford, IL",42.254079,-89.112017,https://www.district100.com/washington-home,60,University of Massachusetts Amherst,42.391157,-72.526712,https://www.umass.edu/
40,Kittredge Magnet School,"Brookhaven, GA",33.91522,-84.32017,http://kittredgees.dekalb.k12.ga.us/,61,"University of California, Santa Cruz",36.991386,-122.060872,https://www.ucsc.edu/
39,Mendham Township Middle School,"Brookside, NJ",40.802125,-74.552408,https://www.mendhamtwp.org/,62,University of Nebraska-Lincoln,40.820197,-96.700476,https://www.unl.edu/
38,Thurgood Marshall School,"Rockford, IL",42.327675,-89.101598,http://www3.rps205.com/Schools/AS/Thurgood/Pages/default.aspx,63,Colorado State University,40.573436,-105.086547,https://www.colostate.edu/
37,Success Academy Charter School-Union Square,"New York, NY",40.735324,-73.987081,http://www.successacademies.org/schools/union-square/,64,Vanderbilt University,36.144703,-86.802655,https://www.vanderbilt.edu/
36,Is 187 Christa Mcauliffe School,"Brooklyn, NY",40.627847,-74.004003,http://www.edline.net/pages/is187,65,Georgia State University,33.753068,-84.385282,http://www.gsu.edu/
35,The Connect Charter School,"Pueblo, CO",38.273296,-104.606602,https://www.connectschool.org/,66,George Washington University,38.899715,-77.048599,https://www.gwu.edu/
34,Infinity Institute,"Jersey City, NJ",40.696339,-74.094138,http://www.jcboe.org/boe2015/index.php?option=com_content&view=article&id=428&Itemid=1044,67,Brigham Young University,40.251844,-111.649316,https://www.byu.edu/
33,Concourse Village Elementary School,"Bronx, NY",40.823134,-73.923099,http://schools.nyc.gov/SchoolPortals/07/X359/default.htm,68,University of South Florida,28.058703,-82.413854,http://www.usf.edu/
32,Baccalaureate School For Global Education,"Long Island City, NJ",40.755157,-73.926974,http://www.bsge.org/,69,"University at Buffalo, State University of New York",43.000809,-78.78897,http://www.buffalo.edu/
31,Aurora Quest K-8,"Aurora, CO",39.720405,-104.786843,http://quest.aurorak12.org/,70,University of Notre Dame,41.705572,-86.235339,https://www.nd.edu/
30,Anderson School,"New York, NY",40.780933,-73.977723,http://www.ps334school.org/,71,Dartmouth College,43.704441,-72.288694,http://home.dartmouth.edu/
29,Doral Academy Of Technology,"Doral, FL",25.797953,-80.37517,http://www.doralacademyprep.org/apps/pages/index.jsp?uREC_ID=184268&type=d,72,George Mason University,38.831554,-77.312089,https://www2.gmu.edu/
28,Ps 77 Lower Lab School,"New York, NY",40.785014,-73.950031,https://ps77lowerlab.org/,73,Washington State University,46.731923,-117.154212,https://wsu.edu/
27,Okaloosa Stemm Center,"Valparaiso, FL",30.512313,-86.502158,http://www.okaloosaschools.com/stemm/,74,Emory University,33.79252,-84.323999,http://www.emory.edu/home/index.html
26,Jacksonville Beach Elementary School,"Jacksonville Beach, FL",30.283882,-81.40026,https://dcps.duvalschools.org/jbe,75,Rice University,29.717394,-95.401831,http://www.rice.edu/
25,Charter School Of Wilmington,"Wilmington, DE",39.753805,-75.587793,http://charterschool.org/,76,"University of California, San Francisco",37.763133,-122.457549,https://www.ucsf.edu/
24,Mcdade Elem Classical School,"Chicago, IL",41.73435,-87.618108,http://www.mcdadeclassical.org/,77,University of Houston,29.719949,-95.342233,http://www.uh.edu/
23,Success Academy Charter School-Bedford Stuyvesant,"Brooklyn, NY",40.696726,-73.947309,http://www.successacademies.org/schools/bed-stuy-1/,78,"University of California, Riverside",33.973706,-117.328064,http://www.ucr.edu/
22,Bear Creek Elementary School,"Boulder, CO",39.980417,-105.263094,https://www.lewispalmer.org/Domain/11,79,University of Rochester,43.130553,-77.626003,https://www.rochester.edu/
21,Gwinnett School Of Mathematics- Science And Technology,"Lawrenceville, GA",33.95302,-84.060184,http://www.gsmst.org/,80,University of Kentucky,38.030651,-84.50397,http://www.uky.edu/UKHome/
20,Edison Elem Regional Gifted Cntr,"Chicago, IL",41.971158,-87.709588,http://www.edisongifted.com/,81,University of Illinois at Chicago,41.87045,-87.667485,https://www.uic.edu/
19,Young Magnet High School,"Chicago, IL",41.878271,-87.663584,http://www.wyoung.org/,82,University of Missouri,38.940381,-92.327738,http://missouri.edu/
18,Sweetwater Elementary School,"Devils Lake, ND",48.121163,-98.863709,http://www.edlinesites.net/pages/Sweetwater_Elementary,83,University of Kansas,38.954344,-95.255796,https://www.ku.edu/
17,Challenge School,"Denver, CO",39.697757,-104.876566,http://challenge.cherrycreekschools.org/Pages/default.aspx,84,University of Connecticut,41.807741,-72.253981,https://uconn.edu/
16,Signature School Inc,"Evansville, IN",37.97299,-87.568655,https://signature.edu/,85,University of Central Florida,28.602427,-81.20006,https://www.ucf.edu/
15,Dennison Elementary School,"Lakewood, CO",39.721604,-105.10607,http://www.dennisonblueribbon.com/,86,Rochester Institute of Technology,43.086102,-77.670514,https://www.rit.edu/
14,Academy For Science And Design Charter,"Nashua, NH",42.790486,-71.523826,http://www.asdnh.org/,87,"The University of Tennessee, Knoxville",35.954401,-83.929456,https://www.utk.edu/
13,Success Academy Charter School-Crown Heights,"Brooklyn, NY",40.665905,-73.9492,http://www.successacademies.org/schools/crown-heights/,88,Rensselaer Polytechnic Institute,42.730172,-73.678803,http://www.rpi.edu/
12,Middlesex County Voc Acad Allied Health & Bio Medic,"Woodbridge, NJ",40.540671,-74.278318,https://www.mcvts.net/woodbridge,89,Temple University,39.981194,-75.155351,https://www.temple.edu/
11,Decatur Classical Elementary School,"Chicago, IL",42.009545,-87.704957,http://decaturclassical.org/,90,University of New Mexico,35.084319,-106.619781,https://www.unm.edu/
10,Skinner North Elem Sch,"Chicago, IL",41.905192,-87.645296,http://www.skinnernorth.org/,91,Drexel University,39.956613,-75.189944,http://drexel.edu/
9,Odyssey-Magellan,Appleton. WI,44.281311,-88.427965,http://www.odysseymagellan.org/,92,San Diego State University,32.774731,-117.069387,https://www.sdsu.edu/
8,Iles Elem School,"Springfield, IL",39.783623,-89.634637,http://www.sps186.org/schools/iles/,93,University of Miami,25.719169,-80.277125,https://welcome.miami.edu/
7,Keller Elem Gifted Magnet School,"Chicago, IL",41.697484,-87.69694,http://www.keller.cps.edu/,94,Boston College,42.335549,-71.168495,https://www.bc.edu/
6,Leonardo Da Vinci School For Gifted Learners,"Green Bay, WI",44.511097,-88.010415,http://davinci.gbaps.org/,95,University of North Texas,33.207488,-97.152586,https://www.unt.edu/
5,Payton College Preparatory Hs,"Chicago, IL",41.901666,-87.635232,http://www.wpcp.org/,96,The University of Oklahoma,35.205894,-97.445714,http://www.ou.edu/
4,Polaris At Ebert Elementary School,"Denver, CO",39.749829,-104.981824,http://polarisprogram.dpsk12.org/,97,Louisiana State University,30.413258,-91.180002,http://www.lsu.edu/
3,Mercer Island High School,"Mercer Island, WA",47.571954,-122.218103,https://www.mercerislandschools.org/mihs,98,University of Cincinnati,39.132922,-84.51495,http://www.uc.edu/
2,School 28,"Paterson, NJ",40.923081,-74.172608,https://ps28-pps-nj.schoolloop.com/,99,University of South Carolina,33.996112,-81.027428,http://www.sc.edu/
1,Middlesex County Voc Academy Math Science & Enginee,"Edison, NJ",40.504556,-74.36955,https://www.mcvts.net/edison,100,University of Vermont,44.477853,-73.196464,https://www.uvm.edu/
